term,coef,std_err,t_stat,p_value,ci_low,ci_high,n_obs,dof,outcome,q_value
intercept,130.9179859402448,1.6222110608466185,80.70342330912217,1.2045340284979472e-36,127.73845226098541,134.09751961950417,36,30,mean_lightness,2.168161251296305e-35
cold_war_reset,-10.045970075144044,4.791374191804985,-2.0966782540855093,0.044557115554203754,-19.437063491081815,-0.6548766592062751,36,30,mean_lightness,0.13367134666261127
post_9_11,-7.694935333191654,4.236721560848212,-1.8162475920770897,0.07933792278385417,-15.998909592454147,0.6090389260708404,36,30,mean_lightness,0.20401180144419645
financial_crisis,7.111997065527735,4.758227421933061,1.494673632610532,0.14544500627777093,-2.214128681461064,16.438122812516532,36,30,mean_lightness,0.28761133520670235
year_centered,0.22087272438147632,0.15321763802684563,1.4415619978606946,0.15978407511483464,-0.07943384615114113,0.5211792949140938,36,30,mean_lightness,0.28761133520670235
pandemic_shock,2.1475604275082922,6.078537919925729,0.35330213544748806,0.7263326051264398,-9.766373895546137,14.061494750562721,36,30,mean_lightness,0.7342980396252421
intercept,13.212070728068593,0.4995348787798181,26.44874520141791,2.395608759759056e-22,12.232982365660149,14.191159090477036,36,30,mean_saturation,1.4373652558554337e-21
year_centered,-0.18933458380456628,0.047181008739224144,-4.012940563671377,0.00036849959000506124,-0.2818093609334456,-0.09685980667568696,36,30,mean_saturation,0.0013265985240182205
cold_war_reset,-1.9681183367761248,1.475429790771446,-1.3339288315081876,0.19226609517235332,-4.8599607266881595,0.9237240531359094,36,30,mean_saturation,0.3146172466456691
financial_crisis,-1.768461523343924,1.465222754172107,-1.2069574529254126,0.23687951694357579,-4.640298121521253,1.1033750748334055,36,30,mean_saturation,0.34602328262211124
pandemic_shock,1.7981312514953198,1.8717920104699155,0.9606469316235071,0.3444089399260206,-1.8705810890257144,5.466843592016354,36,30,mean_saturation,0.42304841137650295
post_9_11,0.4469502414853094,1.3046330668079815,0.3425869333350972,0.7342980396252421,-2.1101305694583345,3.004031052428953,36,30,mean_saturation,0.7342980396252421
intercept,13.93314167667705,0.21710845612368496,64.17595116027839,1.1210056652191338e-33,13.507609102674627,14.358674250679472,36,30,palette_distance,1.0089050986972204e-32
year_centered,-0.1379045639210777,0.020505867359556413,-6.725127082069494,1.874254642896309e-07,-0.17809606394580826,-0.09771306389634712,36,30,palette_distance,8.434145893033389e-07
financial_crisis,-0.9873859549850383,0.6368168941728997,-1.5505021365167442,0.13150751645363953,-2.235547067563922,0.26077515759384506,36,30,palette_distance,0.28761133520670235
post_9_11,-0.6652880964479619,0.5670212090784496,-1.1733037244395506,0.24990570411596924,-1.776649666241723,0.44607347334579917,36,30,palette_distance,0.34602328262211124
cold_war_reset,-0.6055603056250358,0.6412530888247995,-0.944339007761855,0.35254034281375246,-1.8624163597216428,0.6512957484715711,36,30,palette_distance,0.42304841137650295
pandemic_shock,0.6758166847544331,0.813520518467929,0.8307309642627968,0.4126884739975232,-0.9186835314427078,2.270316900951574,36,30,palette_distance,0.46427453324721357
