event_name,event_label,start_year,end_year,outcome,event_window_mean,baseline_mean,delta_vs_baseline
cold_war_reset,Cold War Reset,1990,1993,mean_lightness,117.77979772376113,131.18207289330968,-13.402275169548545
post_9_11,Post-9/11 Era,2001,2004,mean_lightness,122.56043243390904,131.18207289330968,-8.621640459400638
financial_crisis,Global Financial Crisis,2008,2010,mean_lightness,138.80303754110764,131.18207289330968,7.620964647797962
pandemic_shock,COVID Shock,2020,2021,mean_lightness,136.37863723347436,131.18207289330968,5.196564340164684
cold_war_reset,Cold War Reset,1990,1993,mean_saturation,13.894636564556505,12.985692421345746,0.9089441432107588
post_9_11,Post-9/11 Era,2001,2004,mean_saturation,14.227024720967634,12.985692421345746,1.241332299621888
financial_crisis,Global Financial Crisis,2008,2010,mean_saturation,10.780938161408676,12.985692421345746,-2.2047542599370704
pandemic_shock,COVID Shock,2020,2021,mean_saturation,12.170183222495321,12.985692421345746,-0.8155091988504246
cold_war_reset,Cold War Reset,1990,1993,palette_distance,15.258245265947213,13.768255785032283,1.4899894809149306
post_9_11,Post-9/11 Era,2001,2004,palette_distance,13.681567271992353,13.768255785032283,-0.0866885130399293
financial_crisis,Global Financial Crisis,2008,2010,palette_distance,12.463089747968231,13.768255785032283,-1.3051660370640512
pandemic_shock,COVID Shock,2020,2021,palette_distance,12.540389902615221,13.768255785032283,-1.2278658824170616
