tag,n_tag,prevalence,point_biserial_r,mean_aesthetic_if_tag,mean_aesthetic_if_not_tag,p_value,q_value
Dress,5018,0.16726666666666667,-0.16988302484741372,4.690263053009173,4.976207669522054,4.693386903347634e-193,1.1264128568034322e-191
Woman,3690,0.123,-0.141782342982289,4.6905528455284395,4.961733941467124,1.703750222216477e-134,2.0445002666597725e-133
Female,6749,0.22496666666666668,-0.13224834370446142,4.774179878500516,4.973137499462389,4.03676621578968e-117,3.229412972631744e-116
Gown,4647,0.1549,0.12237015578417222,5.107931999139235,4.8954679919536135,1.966619045102744e-100,1.1799714270616463e-99
Fashion,11123,0.3707666666666667,0.121076395506305,5.0274629146812915,4.869994702548073,2.403399327272402e-98,1.1536316770907529e-97
Robe,5023,0.16743333333333332,0.11641340310413262,5.091451323910025,4.895583937222241,5.184226871640196e-91,2.0736907486560784e-90
Evening Dress,4497,0.1499,0.11605406792885913,5.101992439404048,4.897764968827196,1.8518660530963075e-90,6.349255039187339e-90
Apparel,26356,0.8785333333333334,-0.10957231512684174,4.902784565184388,5.113493413831029,8.74482679423497e-81,2.623448038270491e-80
Clothing,26393,0.8797666666666667,-0.10759041648880029,4.90339294509907,5.111203215969014,6.11882491946319e-78,1.631686645190184e-77
Long Sleeve,4326,0.1442,-0.08288802947553844,4.801530282015726,4.949752278569758,6.832029733468534e-47,1.639687136032448e-46
Accessories,2885,0.09616666666666666,0.0708338612520108,5.064793760831886,4.913864281762861,1.1080612995807809e-34,2.417588289994431e-34
Accessory,2770,0.09233333333333334,0.07032985409474463,5.066898916967507,4.914287550495776,3.261361767836823e-34,6.522723535673646e-34
Pants,1582,0.05273333333333333,-0.06997013399472879,4.742085967130213,4.938749384193117,7.014149410521774e-34,1.2949198911732505e-33
Sleeve,7415,0.24716666666666667,-0.06723151857686722,4.854670262980454,4.952578259907015,2.10007834035155e-31,3.600134297745514e-31
Skirt,1676,0.05586666666666667,-0.06650452902678193,4.7566348448687314,4.938541166501906,9.18446691344523e-31,1.4695147061512367e-30
Runway,6347,0.21156666666666665,-0.06298225640622858,4.852000945328503,4.948873715807719,9.327982659604518e-28,1.3991973989406777e-27
Jacket,1678,0.055933333333333335,0.0583593265073524,5.07899284862932,4.919455193842243,4.676084058579064e-24,6.601530435641032e-24
Footwear,7672,0.2557333333333333,-0.046964098781086476,4.878048748696556,4.945672250089574,3.999666828869502e-16,5.332889105159336e-16
Suit,2577,0.0859,0.039693978622879565,5.009720605355082,4.920734784669801,6.085961098308436e-12,7.687529808389604e-12
Coat,7220,0.24066666666666667,0.03799218236302103,4.97077146814405,4.914942493415275,4.624747415561104e-11,5.549696898673325e-11
Shoe,7005,0.2335,-0.03195023584791619,4.892014275517482,4.939456403565994,3.1100539038887227e-08,3.554347318729968e-08
Overcoat,4480,0.14933333333333335,0.024831923170795626,4.965609375000001,4.921842868338557,1.6964633380309276e-05,1.850687277851921e-05
Person,27613,0.9204333333333333,-0.002680401119469947,4.927883605548107,4.934105571847553,0.6424753892054258,0.6704091017795747
Human,27676,0.9225333333333333,-0.00014052734257080952,4.928353085706019,4.928683304647252,0.9805821763982898,0.9805821763982898
