designer,mean_lightness,mean_saturation,color_diversity,n_images
Chanel,142.27721786179725,10.659327988913896,25.09058869476414,184
Valentino,121.93258728065419,13.55645182471573,24.847792349204365,166
Christian Dior,123.79886819265205,13.639863123936928,25.79919579585796,156
Dolce & Gabbana,116.46500517853121,13.646448615692368,26.243699096769955,117
Versace,118.05152212753612,14.926288005935,26.63270692266489,114
Jean Paul Gaultier,112.70122008359411,14.779707266823909,26.211138435670026,107
Giorgio Armani,109.89657400770076,9.698714825224478,24.474897971110014,105
Lanvin,113.7796719718022,11.75427916838512,25.06825121373719,101
Dries Van Noten,121.03724870976184,13.15663644252281,26.319528608799338,101
Givenchy,110.52071736746642,12.407029010781848,25.263147611632707,100
Prada,113.74966135173943,13.742110538589925,26.41747823765216,98
Louis Vuitton,123.79527774743345,11.07046541523026,25.249268991275933,98
Burberry,125.56799604383423,10.710428019497977,24.894034031378435,96
Fendi,124.85475983351826,11.8627563725228,25.4840967799315,95
Balmain,125.46378726607917,11.212215185264462,25.074771284187353,94
Balenciaga,122.9272891002761,16.047461564310527,25.96477378027803,90
Gucci,130.070296241303,14.429328047733396,26.521932974229095,90
Giambattista Valli,144.27746263731376,12.534782062515248,25.535929917692936,90
Michael Kors Collection,120.86709502880754,11.09982854942886,25.01738484317707,88
Marni,139.5162470802681,13.137409803939878,26.154244330174656,83
Saint Laurent,110.60003274980804,10.152615894668727,25.26375131890707,82
Bottega Veneta,122.11887858998622,12.163653013224053,24.60798142549211,75
Chloé,151.14410270588007,11.128823964980134,25.58843176401372,72
Stella McCartney,131.30930347745976,14.256259861582617,25.363842624355698,68
Alexander McQueen,127.35482987293423,10.81021887667839,25.163816515952675,68
Calvin Klein Collection,137.63420602216823,9.037276931600905,24.902071170708883,67
Hermès,112.66734995449002,13.542066507667913,25.07934310225312,67
Roberto Cavalli,121.86840770636688,11.358521174464656,25.592130478261808,66
Miu Miu,123.40568443742082,14.133883206306553,25.78462017553721,62
Maison Margiela,113.67843185727953,13.328038329465812,26.111755585337406,57
Oscar de la Renta,131.00669671123384,10.447239494388395,25.33857694311756,57
Ralph Lauren,137.41385705612822,12.03991606461723,25.932398211804085,57
Rick Owens,129.73746094012137,7.81884980745731,24.36159279172137,55
Emporio Armani,110.69415305905034,8.71757506099997,24.669622896825814,55
Missoni,143.21283564032316,12.670409979852783,25.303295779598997,52
Etro,126.67401043545195,13.174341666768234,26.040081290745725,52
Elie Saab,131.28212063716506,15.411130806453503,25.981389156856345,52
Thom Browne,130.2357237052188,9.10431570469152,23.880032608541782,51
Celine,148.7212071324089,12.308077890206443,25.98497619868462,50
