outcome,predictor,pearson_r,pearson_p,spearman_r,spearman_p,n
aesthetic_wy,mean_lightness_wy,-0.2501821271385125,0.0,-0.2581415389826129,0.0,30000
aesthetic,mean_lightness,-0.22290200129425825,0.0,-0.23327986197716813,0.0,30000
aesthetic_ws,mean_lightness_ws,-0.20138952168479768,4.5672166196698234e-272,-0.21070852472537946,3.2682014501577353e-298,30000
aesthetic_wy,palette_distance_wy,0.17785562972425814,1.0692521037235893e-211,0.18840567755477636,9.106953259397414e-238,30000
aesthetic_wd,mean_lightness_wd,-0.17938444753381771,2.2411771530760457e-215,-0.18244822486142756,7.542689137010418e-223,30000
aesthetic_wy,mean_saturation_wy,0.11964209085339228,4.656717387169009e-96,0.1637387939556933,2.6451751768794557e-179,30000
aesthetic,palette_distance,0.15030614642215231,4.3099244892342164e-151,0.16137904427288932,3.6467215124711545e-174,30000
aesthetic,mean_saturation,0.10057131153551614,2.740200630186209e-68,0.14090412201318273,7.660041628839627e-133,30000
aesthetic_ws,palette_distance_ws,0.1302719337778494,1.1260766243076429e-113,0.1382226318151424,7.327682131076987e-128,30000
aesthetic_wd,palette_distance_wd,0.12808759362984246,6.272025567195868e-110,0.13249531263512304,1.4849905197296203e-117,30000
aesthetic_ws,mean_saturation_ws,0.0872259299610608,9.34610957440195e-52,0.11423600571323693,1.0923600023924123e-87,30000
aesthetic_wd,mean_saturation_wd,0.0777098173524659,2.063321768390248e-41,0.10266045941149093,4.308597460776086e-71,30000
aesthetic,color_diversity,-0.015218557407094694,0.008389609317506666,-0.02293287145776897,7.113815065695513e-05,30000
